"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"1450871_PM_a_at",-3.35094767388245,6.16730629439908,-14.5370269710328,1.32471931389176e-07,0.000298995772741941,7.26842941926239,"Bcat1"
"1427580_PM_a_at",-3.30646241525313,7.48689336167486,-12.940803837523,3.64957111422154e-07,0.000610167739507684,6.56253397020025,"Rian"
"1434499_PM_a_at",2.86331967183114,5.30351563486799,15.4473662404641,7.77508167998571e-08,0.00023398330807749,7.61620212801901,"Ldhb"
"1440785_PM_at",2.58738866030015,8.09834255538077,5.67356992298147,0.000292704674790804,0.0534938531365654,0.772388140322276,"Rxfp1"
"1457030_PM_at",-2.50965128647151,6.26907744078484,-11.6776689401861,8.84990901911285e-07,0.0011414106943765,5.90022999957751,"Mirg"
"1416514_PM_a_at",-2.50688264699789,6.29997504030142,-10.6056024188609,2.01179880867147e-06,0.00238580988303065,5.25129418500782,"Fscn1"
"1424688_PM_at",-2.35062469587729,6.97855955705097,-14.1711444955015,1.65553870277916e-07,0.000355869869438829,7.11808295274148,"Creb3l3"
"1415931_PM_at",2.34402976609694,7.47165708397751,9.3207882610902,5.94897163192353e-06,0.00506684015918226,4.34801555021988,"Igf2"
"1428764_PM_at",-2.3241566116557,6.51006741488951,-31.7154377222648,1.25956123467955e-10,5.68578536946696e-06,10.50164707602,"Meg3"
"1436119_PM_at",-2.28888045436876,6.08480072558925,-13.6663721817814,2.27172044088493e-07,0.000466126056463576,6.89986326514894,"Aldh1l2"
